,field_name,lib_id,new_value,obo_id
0,biol_rep,CNhs14406,biol_rep1,FF:13541-145H4
1,sample_type,CNhs14406,,FF:13541-145H4
2,biol_rep,CNhs14407,biol_rep2,FF:13542-145H5
3,sample_type,CNhs14407,,FF:13542-145H5
4,biol_rep,CNhs14408,biol_rep3,FF:13543-145H6
5,sample_type,CNhs14408,,FF:13543-145H6
6,biol_rep,CNhs14410,biol_rep1,FF:13544-145H7
7,sample_type,CNhs14410,,FF:13544-145H7
8,biol_rep,CNhs14411,biol_rep2,FF:13545-145H8
9,sample_type,CNhs14411,,FF:13545-145H8
10,biol_rep,CNhs14412,biol_rep3,FF:13546-145H9
11,sample_type,CNhs14412,,FF:13546-145H9
12,biol_rep,CNhs14413,biol_rep1,FF:13547-145I1
13,sample_type,CNhs14413,,FF:13547-145I1
14,biol_rep,CNhs14414,biol_rep2,FF:13548-145I2
15,sample_type,CNhs14414,,FF:13548-145I2
16,biol_rep,CNhs14415,biol_rep3,FF:13549-145I3
17,sample_type,CNhs14415,,FF:13549-145I3
18,biol_rep,CNhs14416,biol_rep1,FF:13550-145I4
19,sample_type,CNhs14416,,FF:13550-145I4
20,biol_rep,CNhs14417,biol_rep2,FF:13551-145I5
21,sample_type,CNhs14417,,FF:13551-145I5
22,biol_rep,CNhs14418,biol_rep3,FF:13552-145I6
23,sample_type,CNhs14418,,FF:13552-145I6
24,biol_rep,CNhs14463,biol_rep1,FF:13625-146H7
25,biol_rep,CNhs14464,biol_rep2,FF:13626-146H8
26,biol_rep,CNhs14465,biol_rep3,FF:13627-146H9
27,biol_rep,CNhs14466,biol_rep1,FF:13628-146I1
28,biol_rep,CNhs14467,biol_rep2,FF:13629-146I2
29,biol_rep,CNhs14468,biol_rep3,FF:13630-146I3
30,biol_rep,CNhs14469,biol_rep1,FF:13631-146I4
31,biol_rep,CNhs14470,biol_rep2,FF:13632-146I5
32,biol_rep,CNhs14471,biol_rep3,FF:13633-146I6
33,biol_rep,CNhs14472,biol_rep1,FF:13634-146I7
34,biol_rep,CNhs14473,biol_rep2,FF:13635-146I8
35,biol_rep,CNhs14474,biol_rep3,FF:13636-146I9
36,biol_rep,CNhs14475,biol_rep1,FF:13637-147A1
37,biol_rep,CNhs14476,biol_rep2,FF:13638-147A2
38,biol_rep,CNhs14477,biol_rep3,FF:13639-147A3
39,biol_rep,CNhs14478,biol_rep1,FF:13640-147A4
40,biol_rep,CNhs14479,biol_rep2,FF:13641-147A5
41,biol_rep,CNhs14480,biol_rep3,FF:13642-147A6
42,biol_rep,CNhs14482,biol_rep1,FF:13643-147A7
43,biol_rep,CNhs14483,biol_rep2,FF:13644-147A8
44,biol_rep,CNhs14484,biol_rep3,FF:13645-147A9
45,biol_rep,CNhs14485,biol_rep1,FF:13646-147B1
46,biol_rep,CNhs14486,biol_rep2,FF:13647-147B2
47,biol_rep,CNhs14487,biol_rep3,FF:13648-147B3
48,biol_rep,CNhs14488,biol_rep1,FF:13649-147B4
49,biol_rep,CNhs14489,biol_rep2,FF:13650-147B5
50,biol_rep,CNhs14490,biol_rep3,FF:13651-147B6
51,biol_rep,CNhs14491,biol_rep1,FF:13652-147B7
52,biol_rep,CNhs14492,biol_rep2,FF:13653-147B8
53,biol_rep,CNhs14493,biol_rep3,FF:13654-147B9
54,biol_rep,CNhs14494,biol_rep1,FF:13655-147C1
55,biol_rep,CNhs14495,biol_rep2,FF:13656-147C2
56,biol_rep,CNhs14496,biol_rep3,FF:13657-147C3
57,biol_rep,CNhs14497,biol_rep1,FF:13658-147C4
58,biol_rep,CNhs14498,biol_rep2,FF:13659-147C5
59,biol_rep,CNhs14499,biol_rep3,FF:13660-147C6
60,biol_rep,CNhs14500,biol_rep1,FF:13661-147C7
61,biol_rep,CNhs14501,biol_rep2,FF:13662-147C8
62,biol_rep,CNhs14518,biol_rep3,FF:13663-147C9
63,biol_rep,CNhs14519,biol_rep1,FF:13664-147D1
64,biol_rep,CNhs14520,biol_rep2,FF:13665-147D2
65,biol_rep,CNhs14522,biol_rep3,FF:13666-147D3
66,biol_rep,CNhs14523,biol_rep1,FF:13667-147D4
67,biol_rep,CNhs14524,biol_rep2,FF:13668-147D5
68,biol_rep,CNhs14525,biol_rep3,FF:13669-147D6
69,biol_rep,CNhs14526,biol_rep1,FF:13670-147D7
70,biol_rep,CNhs14527,biol_rep2,FF:13671-147D8
71,biol_rep,CNhs14528,biol_rep3,FF:13672-147D9
72,biol_rep,CNhs14530,biol_rep2,FF:13674-147E2
73,biol_rep,CNhs14531,biol_rep3,FF:13675-147E3
74,biol_rep,CNhs14532,biol_rep1,FF:13676-147E4
75,biol_rep,CNhs14533,biol_rep2,FF:13677-147E5
76,biol_rep,CNhs14534,biol_rep3,FF:13678-147E6
77,biol_rep,CNhs14535,biol_rep1,FF:13679-147E7
78,biol_rep,CNhs14536,biol_rep2,FF:13680-147E8
79,biol_rep,CNhs14537,biol_rep3,FF:13681-147E9
80,biol_rep,CNhs14538,biol_rep1,FF:13682-147F1
81,biol_rep,CNhs14539,biol_rep2,FF:13683-147F2
82,biol_rep,CNhs14540,biol_rep3,FF:13684-147F3
83,biol_rep,CNhs14541,biol_rep1,FF:13685-147F4
84,biol_rep,CNhs14542,biol_rep2,FF:13686-147F5
85,biol_rep,CNhs14543,biol_rep3,FF:13687-147F6
86,sample_type,CNhs12516,,FF:13019-139D4
87,sample_type,CNhs13410,,FF:13022-139D7
88,sample_type,CNhs13413,,FF:13025-139E1
89,sample_type,CNhs13417,,FF:13028-139E4
90,sample_type,CNhs12517,,FF:13020-139D5
91,sample_type,CNhs13411,,FF:13023-139D8
92,sample_type,CNhs13415,,FF:13026-139E2
93,sample_type,CNhs13418,,FF:13029-139E5
94,sample_type,CNhs13336,,FF:13021-139D6
95,sample_type,CNhs13412,,FF:13024-139D9
96,sample_type,CNhs13416,,FF:13027-139E3
97,sample_type,CNhs13419,,FF:13030-139E6
98,sample_type,CNhs13339,primary cell,FF:12642-134G5
99,sample_type,CNhs13358,primary cell,FF:12740-135I4
100,sample_type,CNhs13567,,FF:12838-137B3
101,sample_type,CNhs13340,,FF:12643-134G6
102,sample_type,CNhs13359,,FF:12741-135I5
103,sample_type,CNhs13568,,FF:12839-137B4
104,sample_type,CNhs13341,,FF:12644-134G7
105,sample_type,CNhs13360,,FF:12742-135I6
106,sample_type,CNhs13569,,FF:12840-137B5
107,sample_type,CNhs13343,,FF:12645-134G8
108,sample_type,CNhs13361,,FF:12743-135I7
109,sample_type,CNhs13571,,FF:12841-137B6
110,sample_type,CNhs12741,,FF:12646-134G9
111,sample_type,CNhs13362,,FF:12744-135I8
112,sample_type,CNhs13683,,FF:12842-137B7
113,sample_type,CNhs13344,,FF:12647-134H1
114,sample_type,CNhs13363,,FF:12745-135I9
115,sample_type,CNhs13572,,FF:12843-137B8
116,sample_type,CNhs13345,,FF:12648-134H2
117,sample_type,CNhs13364,,FF:12746-136A1
118,sample_type,CNhs13573,,FF:12844-137B9
119,sample_type,CNhs13346,,FF:12649-134H3
120,sample_type,CNhs13365,,FF:12747-136A2
121,sample_type,CNhs13574,,FF:12845-137C1
122,sample_type,CNhs13347,,FF:12650-134H4
123,sample_type,CNhs13367,,FF:12748-136A3
124,sample_type,CNhs13575,,FF:12846-137C2
125,sample_type,CNhs13348,,FF:12651-134H5
126,sample_type,CNhs13368,,FF:12749-136A4
127,sample_type,CNhs13576,,FF:12847-137C3
128,sample_type,CNhs13349,primary cell,FF:12652-134H6
129,sample_type,CNhs13369,primary cell,FF:12750-136A5
130,sample_type,CNhs13577,,FF:12848-137C4
131,sample_type,CNhs13350,,FF:12653-134H7
132,sample_type,CNhs13370,,FF:12751-136A6
