obo_id	count	delimiter	name
BFO:0000040	1829	1	material entity
NCBITaxon:33154	1829	1	Opisthokonta
NCBITaxon:33213	1829	1	Bilateria
NCBITaxon:6072	1829	1	Eumetazoa
NCBITaxon:117570	1829	1	Teleostomi
NCBITaxon:9605	1829	1	Homo
NCBITaxon:9604	1829	1	Hominidae
NCBITaxon:1	1829	1	root
NCBITaxon:2759	1829	1	Eukaryota
FF:0000001	1829	1	sample
BFO:0000030	1829	1	object
NCBITaxon:131567	1829	1	cellular organisms
FF:0000210	1829	1	human sample
NCBITaxon_2759	1829	1	Eukaryota
NCBITaxon:89593	1829	1	Craniata <chordata>
OBI:0100026	1829	1	organism
FF:0000101	1829	1	sample by species
NCBITaxon:32524	1829	1	Amniota
EFO:0000001	1829	1	experimental factor
NCBITaxon:32523	1829	1	Tetrapoda
NCBITaxon:314295	1829	1	Hominoidea
MaterialEntity	1829	1	material entity
NCBITaxon:32525	1829	1	Theria <Mammalia>
NCBITaxon:117571	1829	1	Euteleostomi
NCBITaxon:33208	1829	1	Metazoa
NCBITaxon:40674	1829	1	Mammalia
NCBITaxon:314146	1829	1	Euarchontoglires
NCBITaxon:8287	1829	1	Sarcopterygii
NCBITaxon:9443	1829	1	Primates
NCBITaxon:9347	1829	1	Eutheria
NCBITaxon:9606	1829	1	Homo sapiens
NCBITaxon:9526	1829	1	Catarrhini
NCBITaxon:7742	1829	1	Vertebrata <Metazoa>
NCBITaxon:33511	1829	1	Deuterostomia
NCBITaxon:376913	1829	1	Haplorrhini
NCBITaxon:207598	1829	1	Homininae
NCBITaxon:7776	1829	1	Gnathostomata <vertebrate>
NCBITaxon:314293	1829	1	Simiiformes
NCBITaxon:7711	1829	1	Chordata
SpecificallyDependentContinuant	1670	1	material property
UBERON:0000465	1666	1	material anatomical entity
UBERON:0001062	1666	1	anatomical entity
UBERON:0000061	1666	1	anatomical structure
UBERON:0010000	1666	1	multicellular anatomical structure
UBERON:0000468	1666	1	multi-cellular organism
Role	1631	1	role
FF:0000102	1580	1	sample by type
EFO:0000683	1549	1	replicate
EFO:0002091	1548	1	biological replicate
UBERON:0000479	1525	1	tissue
GO:0005575	1502	1	cellular_component
CL:0000003	1502	1	native cell
CL:0000000	1502	1	cell
GO:0005623	1502	1	cell
CL:0000548	1467	1	animal cell
CL:0000255	1467	1	eukaryotic cell
UBERON:0000922	1254	1	embryo
CL:0002371	1244	1	somatic cell
UBERON:0005423	1210	1	developing anatomical structure
UBERON:0002050	1191	1	embryonic structure
UBERON:0006598	1180	1	presumptive structure
UBERON:0000480	1176	1	anatomical group
UBERON:0005291	1175	1	embryonic tissue
UBERON:0000307	1175	1	blastula
UBERON:0002532	1175	1	epiblast (generic)
UBERON:0010316	1175	1	germ layer / neural crest
UBERON:0007010	1175	1	cleaving embryo
UBERON:0000923	1175	1	germ layer
UBERON:0000467	1167	1	anatomical system
CL:0000034	853	1	stem cell
UBERON:0000062	805	1	organ
UBERON:0000477	793	1	anatomical cluster
FF:0000002	783	1	in vivo cell sample
CL:0000723	770	1	somatic stem cell
IAO:0000030	763	1	information entity
CL:0000048	758	1	multi fate stem cell
CL:0000219	724	1	motile cell
EFO:0004667	724	1	biological variation design
EFO:0001426	724	1	study design
OBI:0000272	724	1	protocol
EFO:0001746	724	1	development or differentiation design
UBERON:0000926	672	1	mesoderm
UBERON:0006603	672	1	presumptive mesoderm
UBERON:0002384	663	1	connective tissue
CL:0002320	653	1	connective tissue cell
CL:0000134	637	0	mesenchymal cell
FF:0000350	626	1	experimentally modified sample
FF:0000003	623	1	cell line sample
ProcessualEntity	607	1	process
EFO:0004542	607	1	planned process
EFO:0000727	607	1	treatment
EFO:0002694	607	1	experimental process
UO:0000000	596	1	unit
UO:0000149	596	1	derived time unit
UO:0000046	596	1	derived unit
DOID:4	569	1	disease
CL:0002321	562	0	embryonic cell
UBERON:0001048	557	0	primordium
UBERON:0000119	549	0	cell layer
UBERON:0000483	546	0	epithelium
EFO:0000369	541	1	compound based treatment
UBERON:0004120	520	0	mesoderm-derived structure
CL:0000066	519	0	epithelial cell
UBERON:0003104	516	0	mesenchyme
UBERON:0004111	511	0	anatomical conduit
UBERON:0000490	477	0	unilaminar epithelium
DOID:14566	465	1	disease of cellular proliferation
DOID:162	460	1	cancer
UBERON:0000475	455	0	organism subdivision
UBERON:0013701	446	0	main body axis
UBERON:0013702	446	0	body proper
UBERON:0000064	441	0	organ part
UBERON:0011676	439	0	subdivision of organism along main body axis
UBERON:0000924	435	0	ectoderm
UBERON:0006601	435	0	presumptive ectoderm
UBERON:0004121	427	0	ectoderm-derived structure
UBERON:0007524	424	0	dense mesenchyme tissue
DOID:0050686	384	1	organ system cancer
UBERON:0003081	383	0	lateral plate mesoderm
CL:0000988	373	0	hematopoietic cell
CL:0000037	370	0	hematopoietic stem cell
CL:0000566	370	0	angioblastic mesenchymal cell
CL:0008001	370	0	hematopoietic precursor cell
UBERON:0000025	358	0	tube
UBERON:0015212	355	0	lateral structure
CL:0000837	349	0	hematopoietic multipotent progenitor cell
CL:0002032	349	0	hematopoietic oligopotent progenitor cell
UBERON:0016880	347	0	future nervous system
UBERON:0010314	347	0	structure with developmental contribution from neural crest
CL:0000325	346	0	stuff accumulating cell
UBERON:0002405	341	0	immune system
UBERON:0016879	339	0	future central nervous system
FF:0101120	333	0	epithelial cell line sample
UBERON:0010371	333	0	ecto-epithelium
CL:0000055	324	0	non-terminally differentiated cell
UBERON:0002204	323	0	musculoskeletal system
UBERON:0000485	315	0	simple columnar epithelium
UBERON:0012274	315	0	columnar epithelium
UBERON:0002100	313	0	trunk
UBERON:0007497	306	0	developing epithelial placode
CL:0000222	303	0	mesodermal cell
UBERON:0000481	301	0	multi-tissue structure
CL:0002031	298	0	hematopoietic lineage restricted progenitor cell
UBERON:0002346	286	0	neurectoderm
CL:0000049	279	0	common myeloid progenitor
CL:0000763	277	0	myeloid cell
UBERON:0003075	276	0	neural plate
UBERON:0004734	276	0	gastrula
UBERON:0007284	276	0	presumptive neural plate
UO:0000032	275	1	hour
UBERON:0002193	267	0	hemolymphoid system
CL:0000738	263	0	leukocyte
DOID:0050687	246	1	cell type cancer
UBERON:0011216	242	0	organ system subdivision
CL:0002087	232	0	nongranular leukocyte
CL:0000211	231	0	electrically active cell
CL:0000393	231	0	electrically responsive cell
UBERON:0004535	229	0	cardiovascular system
UBERON:0001009	229	0	circulatory system
UBERON:0009569	229	0	subdivision of trunk
CL:0000839	227	0	myeloid lineage restricted progenitor cell
UBERON:0001434	216	0	skeletal system
UBERON:0002390	211	0	hematopoietic system
UBERON:0003061	211	0	blood island
FF:0100297	204	0	carcinoma cell line sample
DOID:305	204	1	carcinoma
UBERON:0004765	202	0	skeletal element
UBERON:0013522	202	0	subdivision of tube
FF:0000004	199	0	tissue sample
UBERON:0001474	195	0	bone element
UO:0000031	195	1	minute
UBERON:0002049	194	0	vasculature
UBERON:0007798	194	0	vascular system
UBERON:0000060	190	0	anatomical wall
CL:0000183	188	0	contractile cell
CL:0002242	188	0	nucleate cell
UBERON:0012429	187	0	hemopoietic tissue
UBERON:0002371	187	0	bone marrow
CL:0000766	187	0	myeloid leukocyte
CL:0000680	186	0	muscle precursor cell
CL:0001035	186	0	bone cell
UBERON:0001016	185	0	nervous system
CL:0002092	185	0	bone marrow cell
UBERON:0001007	184	0	digestive system
UBERON:0007026	184	0	primitive gut
UBERON:0001555	184	0	digestive tract
UBERON:0004923	183	0	organ component layer
CL:0000056	183	0	myoblast
UBERON:0003914	183	0	epithelial tube
UBERON:0000055	181	0	vessel
CL:0000187	180	0	muscle cell
CL:0001060	176	0	hematopoietic oligopotent progenitor cell, lineage-negative
CL:0000557	176	0	granulocyte monocyte progenitor cell
CL:1001610	176	0	bone marrow hematopoietic cell
UBERON:0000063	176	0	organ segment
CL:0000221	176	0	ectodermal cell
CL:0001012	176	0	CD7-negative lymphoid progenitor OR granulocyte monocyte progenitor
UBERON:0004921	176	0	subdivision of digestive tract
UBERON:0000915	167	0	thoracic segment of trunk
UBERON:0003056	164	0	pre-chordal neural plate
UBERON:0001017	163	0	central nervous system
CL:0002009	161	0	macrophage dendritic cell progenitor
CL:0000133	161	0	neurectodermal cell
UBERON:0005157	161	0	epithelial fold
CL:0000040	159	0	monoblast
CL:0000559	159	0	promonocyte
CL:0002194	159	0	monopoietic cell
CL:0000576	159	0	monocyte
UBERON:0006595	157	0	presumptive endoderm
UBERON:0000925	157	0	endoderm
UBERON:0004872	155	0	splanchnic layer of lateral plate mesoderm
UBERON:0007023	153	0	adult organism
UBERON:0004716	152	0	conceptus
FF:0000998	152	0	adult tissue sample
UBERON:0000153	143	0	anterior region of body
UBERON:0007811	142	0	craniocervical region
CL:0000473	137	0	defensive cell
CL:0000234	137	0	phagocyte
UBERON:0000033	135	0	head
UBERON:0003103	135	0	compound organ
FF:0000625	133	0	experimental infection sample
UBERON:0005177	131	0	trunk region element
UBERON:0004537	126	0	blood vasculature
UBERON:0006965	126	0	vascular cord
UBERON:0003929	126	0	gut epithelium
UBERON:0011695	126	0	embryonic cardiovascular system
UBERON:0001981	126	0	blood vessel
UBERON:0014903	126	0	primordial vasculature
UO:0000033	126	1	day
UBERON:0012275	123	0	meso-epithelium
UBERON:0004119	122	0	endoderm-derived structure
CL:0000192	121	0	smooth muscle cell
CL:0000514	121	0	smooth muscle myoblast
CL:0008007	121	0	visceral muscle cell
CL:0008000	121	0	non-striated muscle cell
CL:0000147	120	0	pigment cell
UBERON:0001041	118	0	foregut
DOID:299	117	1	adenocarcinoma
FF:0100167	117	0	adenocarcinoma cell line sample
UBERON:0005062	115	0	neural fold
UBERON:0005061	115	0	neural groove
UBERON:0002342	115	0	neural crest
FF:0101035	115	0	hematopoietic cell line sample
UBERON:0005911	113	0	endo-epithelium
UBERON:0003509	107	0	arterial blood vessel
UBERON:0004572	107	0	arterial system
CL:0000215	106	0	barrier cell
DOID:0060083	106	1	immune system cancer
CL:0000213	106	0	lining cell
CL:0000057	106	0	fibroblast
UBERON:0001015	105	0	musculature
DOID:2531	105	1	hematologic cancer
UBERON:0000383	105	0	musculature of body
CL:0000235	104	0	macrophage
FF:0000086	104	0	human macrophage sample
UBERON:0002385	103	0	muscle tissue
FF:0100669	102	0	embryonic cell line sample
UBERON:0000310	102	0	breast
UBERON:0001443	102	0	chest
UBERON:0006238	100	0	future brain
UBERON:0000955	100	0	brain
UBERON:0000020	98	0	sense organ
UBERON:0001032	98	0	sensory system
UBERON:0004456	98	0	entire sense organ system
CL:0000333	97	0	migratory neural crest cell
CL:0007004	97	0	premigratory neural crest cell
UBERON:0001456	96	0	face
UBERON:0001444	96	0	subdivision of head
FF:0100816	95	0	breast cell line sample
DOID:5093	95	1	thoracic cancer
FF:0100356	95	0	breast cancer cell line sample
DOID:1612	95	1	breast cancer
FF:0100093	94	0	MCF-7 cell sample
UBERON:0003071	94	0	eye primordium
UBERON:0004128	94	0	optic vesicle
FF:0100737	94	0	leukemia cell line sample
UBERON:0000970	94	0	eye
UBERON:0002104	94	0	visual system
UBERON:0003072	94	0	optic cup
UBERON:0000019	94	0	camera-type eye
UBERON:0010312	94	0	immature eye
DOID:1240	94	1	leukemia
FF:0101912	94	0	breast adenocarcinoma cell line sample
UBERON:0004088	94	0	ocular region
CL:0000359	94	0	vascular associated smooth muscle cell
UBERON:0000047	94	0	simple eye
FF:0000057	93	0	fibroblast sample
UBERON:0009142	91	0	entire embryonic mesenchyme
UBERON:0001049	91	0	neural tube
UBERON:0005068	91	0	neural rod
UBERON:0004571	91	0	systemic arterial system
UBERON:0007135	91	0	neural keel
UBERON:0017650	91	0	developing mesenchymal structure
CL:0002319	90	0	neural cell
UBERON:0001004	89	0	respiratory system
UBERON:0010230	89	0	eyeball of camera-type eye
CL:0002078	88	0	meso-epithelial cell
UBERON:0013768	86	0	great vessel of heart
UBERON:0000073	86	0	regional part of nervous system
UBERON:0002616	86	0	regional part of brain
CL:0002322	83	0	embryonic stem cell
FF:0101581	83	0	embryonic stem cell line sample
EFO:0001461	82	1	control
UBERON:0010191	82	0	aortic system
UBERON:0000947	82	0	aorta
FF:0000335	80	0	LPS treatment sample
CL:0000115	80	0	endothelial cell
FF:0000046	80	0	human endothelial cell sample
DOID:0060100	80	1	musculoskeletal system cancer
CL:0002077	80	0	ecto-epithelial cell
CL:0000136	79	0	fat cell
UBERON:0005256	79	0	trunk mesenchyme
UBERON:0011823	78	0	dense connective tissue
UBERON:0001135	78	0	smooth muscle tissue
UBERON:0000065	77	0	respiratory tract
UBERON:0015833	77	0	foregut epithelium
UBERON:0003258	77	0	endoderm of foregut
UBERON:0001005	77	0	respiratory airway
UBERON:0008947	77	0	respiratory primordium
UBERON:0002530	76	0	gland
UBERON:0002416	75	0	integumental system
DOID:201	74	1	connective tissue cancer
UBERON:0015808	74	0	eye epithelium
UBERON:0007625	74	0	pigment epithelium of eye
UBERON:0011822	73	0	dense irregular connective tissue
UBERON:0011821	73	0	irregular connective tissue
UBERON:0013765	73	0	digestive system element
UBERON:0000990	71	0	reproductive system
CL:0000075	71	0	columnar/cuboidal epithelial cell
UBERON:0005156	71	0	reproductive structure
UBERON:0001013	71	0	adipose tissue
UBERON:0001802	70	0	posterior segment of eyeball
CL:0000542	70	0	lymphocyte
CL:0000051	70	0	common lymphoid progenitor
UBERON:0003080	70	0	anterior neural tube
UBERON:0000966	69	0	retina
UBERON:0005388	69	0	photoreceptor array
CL:0002139	69	0	endothelial cell of vascular tree
